Dateiname,Sensor,Temp_Factor,Humidity_Factor
2025_07_25_13_49.csv,MQ2,-21.59037706956887,-1.3414341875633164
2025_07_25_13_49.csv,MQ3,-22.23452966828797,-3.4882313769083666
2025_07_25_13_49.csv,MQ4,-8.001030123293788,-1.134637027314238
2025_07_25_13_49.csv,MQ5,-7.029788955910043,-1.2871684606991534
2025_07_25_13_49.csv,MQ6,-8.062716143871096,-1.2292903530266417
2025_07_25_13_49.csv,MQ7,-10.131871056921762,-0.09341228765050157
2025_07_25_13_49.csv,MQ8,-8.641825379299254,-1.3312283199906771
2025_07_25_13_49.csv,MQ9,-26.037312248190233,-2.2778103778469174
