SecSinceMidnight-MS,Temperature_DHT_C,Humidity_RH,Light_Level,Light_Percent,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Speed,GPS_Course,GPS_Sats,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Mic1,Mic2,Radiation_CPS,DateTime,GPS_DateTime,Temp_Diff,Humidity_Diff
50491-160,23.3,62.0,290,71.7,49.3527,8.1643,80.6,1.5,187,4,-39667.525038181215,-119477.7130865791,-22998.608903908807,-20183.41301394897,-15858.587396960775,3065.8498457659593,-25323.035662665727,-177959.68181446745,385,2,3,0,2025-07-25 16:01:31,2025-07-25 14:01:32,-1.484176085663293,4.907792980368825
50493-157,23.3,62.0,289,71.7,49.3527,8.1643,79.3,1.7,0,4,-39483.024921724566,-119477.7130865791,-22939.788932287556,-20183.41301394897,-15858.587396960775,3057.164718724129,-25246.531023201474,-176749.0717340969,385,3,3,0,2025-07-25 16:01:33,2025-07-25 14:01:34,-1.484176085663293,4.907792980368825
50495-263,23.3,62.0,299,70.8,49.3527,8.1643,82.1,3.0,0,4,-39667.525038181215,-120025.77599064597,-22998.608903908807,-20183.41301394897,-15858.587396960775,3057.164718724129,-25323.035662665727,-176749.0717340969,385,3,2,0,2025-07-25 16:01:35,2025-07-25 14:01:36,-1.484176085663293,4.907792980368825
50497-295,23.3,62.0,297,71.0,49.3527,8.1643,81.7,1.0,0,4,-39667.525038181215,-120025.77599064597,-22998.608903908807,-20122.619601256356,-15923.849073491478,3065.8498457659593,-25323.035662665727,-177152.6084275538,386,2,2,0,2025-07-25 16:01:37,2025-07-25 14:01:38,-1.484176085663293,4.907792980368825
50499-346,23.3,62.0,299,70.9,49.3527,8.1643,81.2,3.6,0,4,-39667.525038181215,-120025.77599064597,-22939.788932287556,-20122.619601256356,-15793.32572043007,3057.164718724129,-25246.531023201474,-176749.0717340969,386,3,2,0,2025-07-25 16:01:39,2025-07-25 14:01:40,-1.484176085663293,4.907792980368825
50501-383,23.3,62.0,296,71.1,49.3527,8.1643,81.7,0.9,0,4,-39667.525038181215,-119477.7130865791,-22880.968960666305,-20061.82618856374,-15858.587396960775,3048.479591682299,-25246.531023201474,-176345.53504064007,385,2,2,0,2025-07-25 16:01:41,2025-07-25 14:01:42,-1.484176085663293,4.907792980368825
50503-552,23.3,62.0,298,70.9,49.3527,8.1643,82.6,1.9,0,4,-39483.024921724566,-120025.77599064597,-22998.608903908807,-20183.41301394897,-15793.32572043007,3057.164718724129,-25246.531023201474,-176345.53504064007,385,3,3,0,2025-07-25 16:01:43,2025-07-25 14:01:44,-1.484176085663293,4.907792980368825
50505-604,23.3,62.0,299,70.8,49.3527,8.1643,84.0,0.6,0,4,-39483.024921724566,-120573.83889471284,-22880.968960666305,-20122.619601256356,-15858.587396960775,3065.8498457659593,-25246.531023201474,-176345.53504064007,384,3,3,0,2025-07-25 16:01:45,2025-07-25 14:01:46,-1.484176085663293,4.907792980368825
50508-682,23.3,62.0,299,70.7,49.3527,8.1643,85.0,1.3,0,4,-39483.024921724566,-121121.90179877973,-22939.788932287556,-20183.41301394897,-15793.32572043007,3083.2200998496187,-25399.540302129968,-177152.6084275538,386,2,3,0,2025-07-25 16:01:48,2025-07-25 14:01:48,-1.484176085663293,4.907792980368825
50510-723,23.3,62.0,298,70.9,49.3527,8.1643,85.8,0.1,0,4,-39483.024921724566,-122218.02760691347,-22939.788932287556,-20183.41301394897,-15858.587396960775,3100.590353933279,-25323.035662665727,-176749.0717340969,386,3,2,1,2025-07-25 16:01:50,2025-07-25 14:01:50,-1.484176085663293,4.907792980368825
50512-774,23.3,62.0,296,71.1,49.3527,8.1643,88.8,1.3,0,4,-39667.525038181215,-122766.09051098037,-22998.608903908807,-20183.41301394897,-15858.587396960775,3109.2754809751086,-25323.035662665727,-177152.6084275538,385,2,3,0,2025-07-25 16:01:52,2025-07-25 14:01:52,-1.484176085663293,4.907792980368825
50514-833,23.3,62.0,298,71.0,49.3527,8.1644,94.8,0.2,0,4,-39483.024921724566,-122766.09051098037,-22998.608903908807,-20183.41301394897,-15858.587396960775,3100.590353933279,-25323.035662665727,-176749.0717340969,385,2,3,0,2025-07-25 16:01:54,2025-07-25 14:01:54,-1.484176085663293,4.907792980368825
