GPS_Lat|GPS_Lon|Street
49,325|8,1987|
49,325|8,1802|
49,3251|8,1987|
49,3251|8,1802|
49,3252|8,1802|
49,3253|8,1987|
49,3253|8,1801|
49,3254|8,1988|
49,3254|8,1798|
49,3255|8,1796|
49,3255|8,1988|
49,3257|8,1988|
49,3257|8,1794|
49,3258|8,1988|
49,3258|8,1792|
49,326|8,1989|
49,326|8,179|
49,3261|8,1989|
49,3262|8,1989|
49,3262|8,1788|
49,3263|8,199|
49,3263|8,1785|
49,3264|8,199|
49,3265|8,1991|
49,3265|8,1783|
49,3266|8,1991|
49,3267|8,1992|
49,3267|8,1781|
49,3268|8,1992|
49,3269|8,1993|
49,3269|8,1992|
49,3269|8,1778|
49,327|8,1993|
49,3271|8,1994|
49,3271|8,1776|
49,3272|8,1994|
49,3272|8,1773|
49,3273|8,1995|
49,3274|8,1996|
49,3274|8,1771|
49,3275|8,1996|
49,3277|8,1997|
49,3277|8,1767|
49,3278|8,1997|
49,3279|8,1998|
49,3279|8,1764|
49,328|8,1999|
49,3281|8,1999|
49,3281|8,1762|
49,3282|8,2|
49,3283|8,1759|
49,3283|8,2001|
49,3284|8,2001|
49,3285|8,2002|
49,3285|8,1756|
49,3286|8,2003|
49,3287|8,2076|
49,3287|8,2075|
49,3287|8,2004|
49,3287|8,1753|
49,3288|8,2078|
49,3288|8,2077|
49,3288|8,2073|
49,3288|8,2072|
49,3288|8,2005|
49,3289|8,2079|
49,3289|8,207|
49,3289|8,2068|
49,3289|8,1751|
49,329|8,208|
49,329|8,2067|
49,329|8,2065|
49,329|8,2006|
49,3291|8,208|
49,3291|8,2063|
49,3291|8,2061|
49,3291|8,2007|
49,3291|8,1748|
49,3292|8,2059|
49,3292|8,2057|
49,3292|8,2008|
49,3293|8,2082|
49,3293|8,2055|
49,3293|8,2053|
49,3293|8,2051|
49,3293|8,2049|
49,3293|8,2047|
49,3293|8,2008|
49,3293|8,1745|
49,3294|8,2095|
49,3294|8,2096|
49,3294|8,2097|
49,3294|8,2094|
49,3294|8,2082|
49,3294|8,2045|
49,3294|8,2009|
49,3295|8,2091|
49,3295|8,2093|
49,3295|8,2097|
49,3295|8,2098|
49,3295|8,2092|
49,3295|8,1742|
49,3296|8,2087|
49,3296|8,2098|
49,3296|8,2089|
49,3296|8,2088|
49,3296|8,2083|
49,3296|8,2044|
49,3296|8,2043|
49,3296|8,201|
49,3297|8,2085|
49,3297|8,2098|
49,3297|8,2099|
49,3297|8,2086|
49,3297|8,2084|
49,3297|8,174|
49,3297|8,2011|
49,3298|8,2081|
49,3298|8,2083|
49,3298|8,2043|
49,3298|8,2012|
49,3299|8,2077|
49,3299|8,2079|
49,3299|8,2042|
49,3299|8,2013|
49,3299|8,1737|
49,33|8,2074|
49,33|8,2042|
49,33|8,2013|
49,3301|8,2072|
49,3301|8,2041|
49,3302|8,2068|
49,3302|8,207|
49,3302|8,2041|
49,3302|8,2014|
49,3303|8,2063|
49,3303|8,2065|
49,3303|8,204|
49,3303|8,2015|
49,3303|8,1732|
49,3304|8,2059|
49,3304|8,2061|
49,3305|8,2058|
49,3305|8,2016|
49,3305|8,1729|
49,3305|8,2039|
49,3306|8,2054|
49,3306|8,2056|
49,3306|8,2039|
49,3306|8,2017|
49,3307|8,205|
49,3307|8,2052|
49,3307|8,2039|
49,3307|8,1726|
49,3307|8,2018|
49,3308|8,2046|
49,3308|8,2048|
49,3308|8,2038|
49,3309|8,2042|
49,3309|8,2044|
49,3309|8,2018|
49,3309|8,1723|
49,331|8,2039|
49,331|8,204|
49,331|8,2037|
49,3311|8,2035|
49,3311|8,2037|
49,3311|8,2036|
49,3311|8,2034|
49,3311|8,2018|
49,3311|8,172|
49,3312|8,2031|
49,3312|8,2033|
49,3312|8,2032|
49,3312|8,1716|
49,3313|8,2028|
49,3313|8,203|
49,3313|8,2029|
49,3313|8,2018|
