49,3476|8,1513|Winzinger Straße|1|1
49,3477|8,1512|Winzinger Straße|1|1
49,3477|8,1513|Winzinger Straße|1|1
49,3478|8,1514|Winzinger Straße|1|1
49,3478|8,1515|Winzinger Straße|1|1
49,3479|8,1515|Winzinger Straße|1|1
49,348|8,1515|Winzinger Straße|1|1
49,348|8,1516|Winzinger Straße|1|1
49,3482|8,1516|Winzinger Straße|1|1
49,3484|8,1517|Winzinger Straße|1|1
49,3485|8,1517|Winzinger Straße|1|1
49,3486|8,1518|Winzinger Straße|1|1
49,3487|8,1518|Winzinger Straße|1|1
49,3488|8,1519|Winzinger Straße|1|1
49,3489|8,1519|Winzinger Straße|1|1
49,3489|8,1521|Winzinger Straße|1|1
49,349|8,152|Winzinger Straße|1|1
49,3491|8,1521|Winzinger Straße|1|1
49,3492|8,152|Winzinger Straße|1|1
49,3493|8,1521|Winzinger Straße|1|1
49,3493|8,1522|Winzinger Straße|1|1
49,3494|8,1522|Winzinger Straße|1|1
49,3495|8,152|Winzinger Straße|1|1
49,3495|8,1521|Winzinger Straße|1|1
49,3495|8,1522|Winzinger Straße|1|1
49,3496|8,152|Winzinger Straße|1|1
49,3496|8,1521|Winzinger Straße|1|1
49,3496|8,153|Winzinger Straße|1|1
49,3497|8,1521|Winzinger Straße|1|1
49,3497|8,1524|Winzinger Straße|1|1
49,3497|8,1526|Winzinger Straße|1|1
49,3497|8,1526|Winzinger Straße|1|1
49,3538|8,1465|Wiesenstraße|1|1
49,3537|8,1445|Werderstraße|1|1
49,3388|8,1321|Weinstraße|1|1
49,3389|8,1322|Weinstraße|1|1
49,339|8,1324|Weinstraße|1|1
49,3392|8,1325|Weinstraße|1|1
49,3393|8,1327|Weinstraße|1|1
49,3394|8,1328|Weinstraße|1|1
49,3396|8,133|Weinstraße|1|1
49,3398|8,1331|Weinstraße|1|1
49,3399|8,1333|Weinstraße|1|1
49,3401|8,1334|Weinstraße|1|1
49,3403|8,1335|Weinstraße|1|1
49,3404|8,1337|Weinstraße|1|1
49,3406|8,1338|Weinstraße|1|1
49,3407|8,134|Weinstraße|1|1
49,3409|8,1341|Weinstraße|1|1
49,341|8,1343|Weinstraße|1|1
49,3412|8,1344|Weinstraße|1|1
49,3414|8,1345|Weinstraße|1|1
49,3416|8,1347|Weinstraße|1|1
