# Umweltkontrollsystem Log
# Start: 2025-07-16 15:15:16
# ===== SENSOR-KONFIGURATION =====
# TEMPERATURSENSOR:
#   DHT11: Pin 22 (Digital) - Temp + Luftfeuchtigkeit, 0.5Hz [Temperature_DHT_C, Humidity_RH]
#   DS18B20: Pin 8 (OneWire) - 4.7K Pull-up zu 5V erforderlich
# GPS-MODUL:
#   RX: Pin 19, TX: Pin 18 (Serial1, 9600 Baud), 200Hz [GPS_Lat, GPS_Lon, GPS_Alt, GPS_Speed, GPS_Course, GPS_Sats, GPS_DateTime]
# GAS-SENSOREN (MQ-Serie, 0.5Hz):
#   MQ2 (Methan,Butan,LPG,Rauch): A0 [MQ2]
#   MQ3 (Alkohol,Ethanol): A1 [MQ3]
#   MQ4 (Methan,CNG): A2 [MQ4]
#   MQ5 (Erdgas,LPG): A3 [MQ5]
#   MQ6 (LPG,Butan): A4 [MQ6]
#   MQ7 (Kohlenmonoxid CO): A5 [MQ7]
#   MQ8 (Wasserstoff H2): A6 [MQ8]
#   MQ9 (CO,entflammbare Gase): A7 [MQ9]
#   MQ135 (Luftqualitaet CO2,NH3,NOx): A8 [MQ135]
# MIKROFONE (100kHz Burst):
#   Mikrofon Klein: A9, Mikrofon Gross: A10 [Mic1, Mic2]
# RADIOAKTIVITAET:
#   Geigerzaehler: Pin 29 (Digital), 200Hz Polling [Radiation_CPS]
# LICHTSENSOR:
#   LDR: Pin A11, 0.5Hz (0-1023 = Dunkel-Hell) [Light_Level, Light_Percent]
# ZEIT/TIMESTAMP:
#   Sekunden seit Mitternacht + Millisekunden [SecSinceMidnight-MS, DateTime]
# SD-KARTE:
#   CS: Pin 10, MOSI: 51, MISO: 50, SCK: 52 (SPI)
# RTC (Real-Time Clock):
#   SDA: Pin 20, SCL: Pin 21 (I2C)
# SYSTEM: Arduino Mega 2560, 5V Versorgung
# ABTASTRATEN: GPS/Radiation=200Hz, Sensoren=0.5Hz, Mikro=100kHz
# ===================================
SecSinceMidnight-MS,Temperature_DHT_C,Humidity_RH,Light_Level,Light_Percent,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Speed,GPS_Course,GPS_Sats,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Mic1,Mic2,Radiation_CPS,DateTime,GPS_DateTime
54916-732,0.0,0.0,20,98.2,--,--,--,--,--,0,21,77,230,201,134,105,185,62,20,4,4,0,2025-07-16 17:15:16 MESZ,----/--/-- --:--:-- UTC
54918-589,28.8,45.0,19,97.9,--,--,--,--,--,0,23,79,227,198,132,109,183,55,20,5,14,0,2025-07-16 17:15:18 MESZ,----/--/-- --:--:-- UTC
54920-594,28.8,46.0,18,98.1,--,--,--,--,--,0,22,88,224,195,125,119,178,51,17,5,18,0,2025-07-16 17:15:20 MESZ,----/--/-- --:--:-- UTC
54922-796,28.8,46.0,19,98.0,--,--,--,--,--,0,21,89,223,194,127,123,177,52,16,5,5,0,2025-07-16 17:15:22 MESZ,----/--/-- --:--:-- UTC
54924-746,28.7,45.0,23,97.8,--,--,--,--,--,0,19,90,223,193,128,125,176,49,15,7,38,0,2025-07-16 17:15:24 MESZ,----/--/-- --:--:-- UTC
54926-852,28.5,45.0,24,97.7,--,--,--,--,--,0,20,93,221,190,124,128,175,49,15,5,12,1,2025-07-16 17:15:26 MESZ,----/--/-- --:--:-- UTC
54928-915,28.3,45.0,19,98.0,--,--,--,--,--,0,20,95,219,189,123,134,172,47,17,5,13,0,2025-07-16 17:15:28 MESZ,----/--/-- --:--:-- UTC
54931-913,28.0,46.0,21,97.9,--,--,--,--,--,0,21,95,219,190,122,135,174,50,17,4,7,0,2025-07-16 17:15:31 MESZ,----/--/-- --:--:-- UTC
54933-970,27.8,46.0,23,97.7,--,--,--,--,--,0,21,99,217,189,120,134,174,47,16,6,9,0,2025-07-16 17:15:33 MESZ,----/--/-- --:--:-- UTC
54935-193,27.5,46.0,23,97.8,--,--,--,--,--,0,21,99,220,188,126,137,173,50,17,3,6,0,2025-07-16 17:15:35 MESZ,----/--/-- --:--:-- UTC
54937-196,27.3,47.0,26,97.6,--,--,--,--,--,0,22,101,220,191,126,139,176,52,17,4,5,0,2025-07-16 17:15:37 MESZ,----/--/-- --:--:-- UTC
54939-274,27.1,47.0,24,97.6,--,--,--,--,--,0,22,101,218,192,126,141,177,57,18,3,5,0,2025-07-16 17:15:39 MESZ,----/--/-- --:--:-- UTC
54941-473,26.9,48.0,25,97.5,--,--,--,--,--,0,24,103,224,193,127,144,178,62,20,4,4,0,2025-07-16 17:15:41 MESZ,----/--/-- --:--:-- UTC
54943-438,26.8,49.0,25,97.7,--,--,--,--,--,0,24,104,224,194,128,145,181,65,22,6,4,0,2025-07-16 17:15:43 MESZ,----/--/-- --:--:-- UTC
54945-444,26.7,49.0,27,97.4,--,--,--,--,--,0,25,103,224,197,129,144,180,63,20,4,8,0,2025-07-16 17:15:45 MESZ,----/--/-- --:--:-- UTC
54947-698,26.7,49.0,28,97.4,--,--,--,--,--,0,24,106,225,196,128,148,181,65,18,4,4,0,2025-07-16 17:15:47 MESZ,----/--/-- --:--:-- UTC
54949-648,26.6,49.0,27,97.3,--,--,--,--,--,0,22,107,224,194,128,150,178,60,21,4,7,1,2025-07-16 17:15:49 MESZ,----/--/-- --:--:-- UTC
54951-729,26.6,49.0,40,96.2,--,--,--,--,--,0,24,107,226,195,128,152,179,60,21,5,5,0,2025-07-16 17:15:51 MESZ,----/--/-- --:--:-- UTC
54953-820,26.5,49.0,26,97.5,--,--,--,--,--,0,24,109,226,193,129,155,179,62,23,4,4,0,2025-07-16 17:15:53 MESZ,----/--/-- --:--:-- UTC
54955-818,26.4,49.0,25,97.5,--,--,--,--,--,0,23,107,224,194,126,151,176,63,19,4,8,0,2025-07-16 17:15:55 MESZ,----/--/-- --:--:-- UTC
54957-876,26.3,49.0,25,97.7,--,--,--,--,--,0,25,110,224,194,126,155,177,58,19,4,13,0,2025-07-16 17:15:57 MESZ,----/--/-- --:--:-- UTC
54960-101,26.2,49.0,26,97.7,--,--,--,--,--,0,24,110,224,194,126,157,179,61,18,3,14,0,2025-07-16 17:16:00 MESZ,----/--/-- --:--:-- UTC
54962-103,26.1,50.0,32,97.0,--,--,--,--,--,0,23,112,223,193,126,158,177,60,19,4,45,0,2025-07-16 17:16:02 MESZ,----/--/-- --:--:-- UTC
54964-179,25.9,50.0,26,97.4,49.3495,8.1640,140.7,36.9, 0,5,25,113,222,194,127,160,176,60,17,5,5,0,2025-07-16 17:16:04 MESZ,2025-07-16 15:16:04 UTC
54966-275,25.8,51.0,28,97.2,49.3493,8.1640,141.1,32.5,196,5,24,112,222,191,126,160,175,60,17,5,6,1,2025-07-16 17:16:06 MESZ,2025-07-16 15:16:06 UTC
54968-344,25.6,51.0,26,97.7,49.3493,8.1640,141.1,32.5, 0,4,24,114,223,192,125,160,176,60,16,4,6,0,2025-07-16 17:16:08 MESZ,2025-07-16 15:16:09 UTC
54970-402,25.5,51.0,23,97.8,49.3489,8.1638,138.9,32.4,195,5,24,116,221,192,124,162,175,59,16,6,13,0,2025-07-16 17:16:10 MESZ,2025-07-16 15:16:11 UTC
54972-556,25.4,51.0,25,97.4,49.3488,8.1637,138.3,31.9,196,5,23,115,222,192,124,163,175,60,18,6,4,0,2025-07-16 17:16:12 MESZ,2025-07-16 15:16:13 UTC
54974-574,25.3,51.0,28,97.3,49.3486,8.1637,137.2,29.9, 0,5,24,114,221,192,123,164,175,63,19,4,6,0,2025-07-16 17:16:14 MESZ,2025-07-16 15:16:15 UTC
54976-712,25.2,51.0,28,97.2,49.3485,8.1637,136.3,29.5,188,5,21,115,223,193,126,164,176,58,19,5,12,0,2025-07-16 17:16:16 MESZ,2025-07-16 15:16:17 UTC
54978-726,25.1,52.0,25,97.7,49.3485,8.1637,136.3,29.5, 0,5,23,115,221,191,124,164,173,61,18,4,5,0,2025-07-16 17:16:18 MESZ,2025-07-16 15:16:19 UTC
54980-721,25.0,52.0,29,97.2,49.3481,8.1637,137.7,32.1,182,5,22,115,221,192,125,165,174,59,19,5,7,0,2025-07-16 17:16:20 MESZ,2025-07-16 15:16:21 UTC
54982-778,24.9,52.0,31,97.1,49.3480,8.1636,135.7,32.0,189,5,23,115,222,193,124,167,179,62,18,5,6,0,2025-07-16 17:16:22 MESZ,2025-07-16 15:16:23 UTC
54984-003,24.8,52.0,22,97.8,49.3478,8.1636,137.5,31.4,183,5,23,116,223,190,124,168,174,59,19,5,19,0,2025-07-16 17:16:24 MESZ,2025-07-16 15:16:25 UTC
54986-999,24.8,52.0,19,98.1,49.3477,8.1635,136.0,31.5, 0,5,23,115,221,187,123,165,171,55,17,6,5,0,2025-07-16 17:16:26 MESZ,2025-07-16 15:16:27 UTC
54989-079,24.7,53.0,22,97.8,49.3475,8.1635,134.2,31.7,192,6,22,116,219,190,124,166,171,54,18,4,104,0,2025-07-16 17:16:29 MESZ,2025-07-16 15:16:29 UTC
54991-175,24.6,53.0,20,98.1,49.3474,8.1635,134.1,31.3,187,6,24,117,224,191,124,168,172,54,18,3,5,0,2025-07-16 17:16:31 MESZ,2025-07-16 15:16:31 UTC
54993-170,24.6,53.0,22,97.8,49.3472,8.1634,134.8,25.8,185,6,23,117,225,194,126,169,176,57,17,5,3,0,2025-07-16 17:16:33 MESZ,2025-07-16 15:16:33 UTC
54995-249,24.5,53.0,23,97.8,49.3471,8.1634,134.8,16.2,188,6,20,116,227,193,128,171,175,64,20,4,3,0,2025-07-16 17:16:35 MESZ,2025-07-16 15:16:36 UTC
54997-504,24.5,53.0,21,98.0,49.3470,8.1634,133.9,12.0,186,6,26,117,226,195,128,173,180,69,20,3,2,0,2025-07-16 17:16:37 MESZ,2025-07-16 15:16:38 UTC
54999-448,24.4,53.0,20,98.0,49.3469,8.1634,134.0,22.9, 0,6,26,118,229,197,130,174,181,67,23,6,13,0,2025-07-16 17:16:39 MESZ,2025-07-16 15:16:40 UTC
55001-557,24.4,53.0,15,98.5,49.3468,8.1634,134.2,26.0,191,6,26,119,230,198,131,174,180,67,21,6,4,0,2025-07-16 17:16:41 MESZ,2025-07-16 15:16:42 UTC
55003-728,24.4,53.0,16,98.4,49.3467,8.1633,134.5,20.5,191,6,25,118,231,199,131,175,184,72,21,5,4,0,2025-07-16 17:16:43 MESZ,2025-07-16 15:16:44 UTC
55005-639,24.3,54.0,21,97.9,49.3466,8.1633,134.8,19.6,184,6,25,119,231,198,131,176,184,73,21,3,4,0,2025-07-16 17:16:45 MESZ,2025-07-16 15:16:46 UTC
55007-676,24.3,54.0,26,97.5,49.3465,8.1633,134.8,24.8,182,6,27,120,230,199,131,179,184,76,21,5,6,0,2025-07-16 17:16:47 MESZ,2025-07-16 15:16:48 UTC
55009-902,24.3,54.0,23,97.8,49.3463,8.1633,135.0,28.9,187,6,26,118,231,199,130,176,184,76,23,5,22,0,2025-07-16 17:16:49 MESZ,2025-07-16 15:16:50 UTC
55011-898,24.3,54.0,27,97.5,49.3462,8.1633,134.4,31.5, 0,6,27,119,230,199,130,176,182,76,21,4,11,1,2025-07-16 17:16:51 MESZ,2025-07-16 15:16:52 UTC
55013-979,24.3,54.0,26,97.5,49.3460,8.1632,134.2,31.4,186,6,26,119,229,198,129,174,181,74,21,5,62,0,2025-07-16 17:16:53 MESZ,2025-07-16 15:16:54 UTC
55015-074,24.2,54.0,23,97.8,49.3459,8.1632,133.8,31.8,190,6,27,120,227,197,128,178,180,74,21,4,7,0,2025-07-16 17:16:55 MESZ,2025-07-16 15:16:56 UTC
55017-067,24.2,54.0,24,97.7,49.3457,8.1631,134.2,31.9,189,6,26,120,227,195,128,178,180,72,20,4,5,0,2025-07-16 17:16:57 MESZ,2025-07-16 15:16:58 UTC
55019-127,24.2,54.0,23,97.8,49.3455,8.1631,134.2,29.9,187,6,26,120,226,194,128,178,179,73,20,6,8,0,2025-07-16 17:16:59 MESZ,2025-07-16 15:17:00 UTC
55021-403,24.2,54.0,23,97.8,49.3454,8.1631,134.6,4.8,190,6,26,120,229,198,129,181,181,77,22,5,4,0,2025-07-16 17:17:01 MESZ,2025-07-16 15:17:03 UTC
55024-368,24.1,54.0,24,97.7,49.3454,8.1631,136.4,0.1, 0,6,27,120,230,198,134,180,183,81,23,5,4,0,2025-07-16 17:17:04 MESZ,2025-07-16 15:17:05 UTC
55026-455,24.1,54.0,24,97.6,49.3454,8.1631,137.3,7.4,200,6,29,122,231,203,132,182,185,85,24,4,4,0,2025-07-16 17:17:06 MESZ,2025-07-16 15:17:07 UTC
55028-574,24.1,55.0,23,97.8,49.3454,8.1630,137.9,10.4,203,6,30,121,233,202,133,183,186,88,26,3,4,0,2025-07-16 17:17:08 MESZ,2025-07-16 15:17:09 UTC
55031-539,24.1,55.0,23,97.8,49.3453,8.1630,137.6,2.2,216,6,31,123,233,200,135,184,186,91,26,4,6,0,2025-07-16 17:17:11 MESZ,2025-07-16 15:17:11 UTC
55033-594,24.1,55.0,24,97.8,49.3453,8.1630,137.4,0.4, 0,6,31,124,235,202,135,186,188,95,28,4,5,0,2025-07-16 17:17:13 MESZ,2025-07-16 15:17:13 UTC
55035-802,24.1,55.0,24,97.6,49.3453,8.1630,137.5,2.5,211,6,31,123,234,202,135,187,188,96,24,4,4,0,2025-07-16 17:17:15 MESZ,2025-07-16 15:17:15 UTC
55037-796,24.2,55.0,24,97.7,49.3453,8.1630,136.9,0.6, 0,6,31,121,234,202,135,188,189,101,29,7,4,0,2025-07-16 17:17:17 MESZ,2025-07-16 15:17:17 UTC
55039-876,24.1,55.0,25,97.7,49.3453,8.1630,136.2,0.0, 0,6,32,123,236,203,135,189,190,104,30,4,4,0,2025-07-16 17:17:19 MESZ,2025-07-16 15:17:19 UTC
55041-972,24.2,55.0,22,97.7,49.3453,8.1630,135.8,3.6,224,6,29,123,236,201,136,189,188,105,30,3,4,0,2025-07-16 17:17:21 MESZ,2025-07-16 15:17:21 UTC
55043-967,24.2,55.0,24,97.6,49.3452,8.1629,136.0,22.6,217,6,33,122,235,203,136,191,188,102,30,4,4,1,2025-07-16 17:17:23 MESZ,2025-07-16 15:17:23 UTC
55045-022,24.2,55.0,25,97.6,49.3451,8.1629,135.2,24.9,199,6,33,130,243,208,139,199,196,105,31,4,5,0,2025-07-16 17:17:25 MESZ,2025-07-16 15:17:25 UTC
55047-250,24.2,55.0,24,97.6,49.3450,8.1629,134.6,32.2,175,6,34,127,242,209,139,194,193,101,28,6,6,0,2025-07-16 17:17:27 MESZ,2025-07-16 15:17:27 UTC
55049-269,24.2,55.0,22,97.9,49.3447,8.1628,134.5,38.1, 0,6,31,129,241,208,138,201,193,102,28,3,7,0,2025-07-16 17:17:29 MESZ,2025-07-16 15:17:30 UTC
55052-355,24.2,55.0,29,97.2,49.3445,8.1627,134.7,41.0,193,6,32,130,242,208,137,199,195,101,27,5,23,0,2025-07-16 17:17:32 MESZ,2025-07-16 15:17:32 UTC
55054-474,24.2,55.0,25,97.5,49.3443,8.1627,133.4,40.3,189,6,30,130,243,208,136,200,190,102,27,6,8,0,2025-07-16 17:17:34 MESZ,2025-07-16 15:17:34 UTC
55056-437,24.1,54.0,26,97.6,49.3441,8.1626,132.8,43.3,188,6,30,130,240,205,136,200,191,98,25,7,116,0,2025-07-16 17:17:36 MESZ,2025-07-16 15:17:36 UTC
55058-494,24.1,54.0,26,97.5,49.3439,8.1626,133.7,44.8,189,6,29,130,241,205,134,199,190,97,25,5,15,0,2025-07-16 17:17:38 MESZ,2025-07-16 15:17:38 UTC
55060-751,24.1,54.0,27,97.4,49.3437,8.1625,134.6,44.3,188,6,28,131,240,203,133,203,189,97,23,4,9,0,2025-07-16 17:17:40 MESZ,2025-07-16 15:17:40 UTC
55061-694,24.1,55.0,26,97.5,49.3435,8.1625,134.2,44.1, 0,6,29,131,239,202,133,200,189,95,25,6,88,0,2025-07-16 17:17:41 MESZ,2025-07-16 15:17:42 UTC
55063-774,24.0,55.0,25,97.6,49.3432,8.1625,136.6,44.5,188,6,27,131,238,202,134,201,188,96,24,4,10,0,2025-07-16 17:17:43 MESZ,2025-07-16 15:17:44 UTC
55065-872,24.0,55.0,26,97.5,49.3430,8.1624,137.8,42.7,190,6,28,131,239,201,135,201,188,96,24,5,18,0,2025-07-16 17:17:45 MESZ,2025-07-16 15:17:46 UTC
55067-867,24.0,55.0,27,97.5,49.3428,8.1623,138.1,40.0,189,6,26,131,234,201,132,203,186,94,25,6,287,0,2025-07-16 17:17:47 MESZ,2025-07-16 15:17:48 UTC
55069-923,24.0,55.0,27,97.6,49.3426,8.1623,139.0,38.5,192,6,26,132,238,200,130,203,185,91,24,5,274,1,2025-07-16 17:17:49 MESZ,2025-07-16 15:17:50 UTC
55071-151,23.9,55.0,27,97.4,49.3424,8.1622,139.1,38.1,195,6,26,132,237,199,129,203,184,92,25,4,52,0,2025-07-16 17:17:51 MESZ,2025-07-16 15:17:52 UTC
55073-168,23.9,55.0,26,97.5,49.3422,8.1621,138.1,29.3, 0,6,27,131,235,199,129,202,185,94,25,4,10,0,2025-07-16 17:17:53 MESZ,2025-07-16 15:17:55 UTC
55075-256,23.9,55.0,24,97.6,49.3421,8.1620,136.8,24.5,205,6,26,129,236,198,129,203,184,93,23,4,8,0,2025-07-16 17:17:55 MESZ,2025-07-16 15:17:57 UTC
55077-374,23.9,55.0,24,97.7,49.3420,8.1619,134.9,23.0,217,6,28,131,236,200,125,202,187,94,26,5,4,1,2025-07-16 17:17:57 MESZ,2025-07-16 15:17:59 UTC
55079-338,23.9,56.0,25,97.7,49.3419,8.1619,135.3,19.9,190,6,28,128,238,202,132,204,188,103,26,3,4,0,2025-07-16 17:17:59 MESZ,2025-07-16 15:18:01 UTC
55081-393,23.9,56.0,17,98.2,49.3418,8.1620,135.7,20.2,134,6,32,130,236,202,135,204,190,107,27,5,6,0,2025-07-16 17:18:01 MESZ,2025-07-16 15:18:03 UTC
55084-701,23.8,56.0,16,98.4,49.3418,8.1621,136.6,23.6,76,6,32,130,239,205,134,207,189,108,29,5,5,0,2025-07-16 17:18:04 MESZ,2025-07-16 15:18:05 UTC
55086-593,23.8,56.0,20,98.0,49.3419,8.1623,136.8,27.4, 0,6,31,127,239,204,135,206,186,105,28,4,5,0,2025-07-16 17:18:06 MESZ,2025-07-16 15:18:07 UTC
55088-672,23.9,56.0,21,98.0,49.3419,8.1625,136.2,31.9,99,6,33,131,239,205,134,207,188,107,29,6,5,0,2025-07-16 17:18:08 MESZ,2025-07-16 15:18:09 UTC
55091-770,23.9,55.0,20,98.0,49.3418,8.1628,133.9,33.0,109,6,32,132,239,204,132,208,189,107,31,4,5,1,2025-07-16 17:18:11 MESZ,2025-07-16 15:18:11 UTC
55093-763,23.9,55.0,26,97.5,49.3417,8.1630,130.7,33.7,113,6,32,131,238,203,138,207,187,103,30,4,4,0,2025-07-16 17:18:13 MESZ,2025-07-16 15:18:13 UTC
55095-819,23.9,55.0,25,97.4,49.3417,8.1632,129.5,25.2,112,6,32,130,239,206,131,207,190,108,31,5,4,0,2025-07-16 17:18:15 MESZ,2025-07-16 15:18:15 UTC
55097-047,23.9,55.0,28,97.3,49.3416,8.1633,131.6,19.3,136,6,34,130,241,205,137,207,192,114,32,4,5,0,2025-07-16 17:18:17 MESZ,2025-07-16 15:18:17 UTC
55099-066,23.9,55.0,12,98.8,49.3415,8.1633,130.9,10.5, 0,6,33,129,241,206,135,208,192,117,33,5,4,0,2025-07-16 17:18:19 MESZ,2025-07-16 15:18:20 UTC
55101-151,23.9,55.0,11,99.0,49.3415,8.1632,131.2,8.3,263,6,33,128,242,207,137,209,193,121,34,5,4,0,2025-07-16 17:18:21 MESZ,2025-07-16 15:18:22 UTC
55103-270,23.9,55.0,14,98.7,49.3415,8.1632,130.5,0.2, 0,6,35,131,244,208,137,210,195,124,34,4,3,0,2025-07-16 17:18:23 MESZ,2025-07-16 15:18:24 UTC
55105-233,23.9,55.0,16,98.4,49.3415,8.1632,129.8,3.1,90,6,36,130,245,208,140,213,196,129,34,5,3,0,2025-07-16 17:18:25 MESZ,2025-07-16 15:18:26 UTC
55107-292,23.9,55.0,28,97.3,49.3415,8.1632,129.8,3.6,54,6,38,130,246,209,140,211,195,130,38,5,4,0,2025-07-16 17:18:27 MESZ,2025-07-16 15:18:28 UTC
55109-550,24.0,55.0,29,97.3,49.3415,8.1632,130.8,2.6,12,6,40,134,246,211,142,213,197,136,39,6,4,0,2025-07-16 17:18:29 MESZ,2025-07-16 15:18:30 UTC
55111-492,24.1,55.0,28,97.2,49.3415,8.1632,131.7,2.1, 0,6,40,132,245,210,142,214,198,138,39,5,4,0,2025-07-16 17:18:31 MESZ,2025-07-16 15:18:32 UTC
55114-571,24.1,55.0,29,97.2,49.3416,8.1632,132.5,2.3, 6,6,39,130,246,210,138,214,196,141,39,5,4,0,2025-07-16 17:18:34 MESZ,2025-07-16 15:18:34 UTC
55116-667,24.1,55.0,30,97.1,49.3416,8.1632,134.8,0.0, 0,6,40,131,245,210,143,214,199,143,41,4,6,0,2025-07-16 17:18:36 MESZ,2025-07-16 15:18:36 UTC
55118-659,24.2,55.0,27,97.4,49.3416,8.1633,135.6,1.3,90,6,40,130,244,210,141,213,196,145,41,3,3,0,2025-07-16 17:18:38 MESZ,2025-07-16 15:18:38 UTC
55120-715,24.2,55.0,29,97.3,49.3416,8.1633,134.2,0.1, 0,5,41,130,246,210,139,213,197,145,42,4,4,0,2025-07-16 17:18:40 MESZ,2025-07-16 15:18:40 UTC
55121-944,24.2,55.0,27,97.4,49.3415,8.1633,133.1,0.0, 0,6,42,130,244,209,142,213,197,149,46,4,6,0,2025-07-16 17:18:41 MESZ,2025-07-16 15:18:42 UTC
55123-011,24.3,55.0,31,96.9,49.3415,8.1633,132.5,0.1, 0,6,39,130,245,209,143,213,197,146,44,5,4,0,2025-07-16 17:18:43 MESZ,2025-07-16 15:18:45 UTC
55125-046,24.3,55.0,24,97.7,49.3415,8.1633,132.2,0.2, 0,6,42,130,245,209,141,213,196,149,44,4,3,0,2025-07-16 17:18:45 MESZ,2025-07-16 15:18:47 UTC
55127-217,24.3,55.0,27,97.4,49.3415,8.1633,132.0,0.3, 0,5,45,136,250,214,145,217,203,158,48,4,3,0,2025-07-16 17:18:47 MESZ,2025-07-16 15:18:49 UTC
55129-129,24.4,55.0,27,97.3,49.3415,8.1633,132.3,0.1, 0,6,43,132,247,213,141,221,201,159,47,4,3,1,2025-07-16 17:18:49 MESZ,2025-07-16 15:18:51 UTC
55131-184,24.4,55.0,26,97.4,49.3415,8.1633,133.4,0.2, 0,6,47,132,247,210,144,216,200,160,47,3,5,0,2025-07-16 17:18:51 MESZ,2025-07-16 15:18:53 UTC
55133-444,24.4,55.0,24,97.7,49.3415,8.1633,135.0,0.0, 0,6,45,131,246,210,143,216,198,163,48,5,5,0,2025-07-16 17:18:53 MESZ,2025-07-16 15:18:55 UTC
55135-387,24.4,55.0,24,97.8,49.3415,8.1633,136.2,0.2, 0,6,46,130,244,206,142,216,198,161,47,5,4,0,2025-07-16 17:18:55 MESZ,2025-07-16 15:18:57 UTC
55137-465,24.5,55.0,23,97.7,49.3415,8.1633,136.4,0.1, 0,8,45,131,245,208,141,216,197,161,45,5,4,0,2025-07-16 17:18:57 MESZ,2025-07-16 15:18:59 UTC
55139-563,24.5,55.0,27,97.4,49.3415,8.1633,135.9,0.1, 0,8,45,130,242,209,141,215,197,160,47,3,4,0,2025-07-16 17:18:59 MESZ,2025-07-16 15:19:01 UTC
55142-555,24.5,55.0,28,97.4,49.3415,8.1633,135.7,0.5, 0,8,45,130,243,209,141,215,198,163,48,4,3,0,2025-07-16 17:19:02 MESZ,2025-07-16 15:19:03 UTC
55144-613,24.6,55.0,26,97.5,49.3415,8.1633,135.0,0.1, 0,8,46,131,245,208,142,215,197,161,49,7,4,0,2025-07-16 17:19:04 MESZ,2025-07-16 15:19:05 UTC
55146-841,24.6,54.0,29,97.2,49.3415,8.1633,134.6,0.3, 0,8,47,131,244,208,140,217,201,165,50,4,4,0,2025-07-16 17:19:06 MESZ,2025-07-16 15:19:07 UTC
55148-836,24.6,54.0,26,97.4,49.3415,8.1633,134.4,0.0, 0,8,47,130,245,210,141,216,197,167,50,3,4,0,2025-07-16 17:19:08 MESZ,2025-07-16 15:19:09 UTC
55151-995,24.6,54.0,29,97.2,49.3415,8.1633,134.4,0.6, 0,8,47,129,243,207,139,215,195,168,48,7,3,0,2025-07-16 17:19:11 MESZ,2025-07-16 15:19:12 UTC
55153-012,24.6,54.0,25,97.6,49.3415,8.1633,134.6,0.4, 0,8,45,129,244,208,141,216,197,170,51,4,5,0,2025-07-16 17:19:13 MESZ,2025-07-16 15:19:14 UTC
55155-026,24.6,54.0,28,97.4,49.3415,8.1633,134.3,0.1, 0,8,48,129,246,209,141,217,200,170,50,3,4,0,2025-07-16 17:19:15 MESZ,2025-07-16 15:19:16 UTC
55157-084,24.6,54.0,25,97.5,49.3415,8.1633,134.2,0.1, 0,8,48,129,243,208,140,215,198,173,52,4,4,1,2025-07-16 17:19:17 MESZ,2025-07-16 15:19:18 UTC
55159-341,24.6,54.0,27,97.3,49.3415,8.1633,133.6,0.3, 0,8,47,128,243,207,141,216,197,172,53,4,5,0,2025-07-16 17:19:19 MESZ,2025-07-16 15:19:20 UTC
55161-304,24.7,54.0,27,97.3,49.3415,8.1633,133.3,0.2, 0,8,47,129,243,206,140,216,199,173,53,4,5,0,2025-07-16 17:19:21 MESZ,2025-07-16 15:19:22 UTC
55163-362,24.7,54.0,27,97.4,49.3415,8.1633,133.1,0.0, 0,8,48,128,243,206,137,215,197,171,52,4,4,0,2025-07-16 17:19:23 MESZ,2025-07-16 15:19:24 UTC
55165-458,24.7,54.0,28,97.5,49.3415,8.1633,133.1,0.2, 0,8,48,129,245,208,140,216,197,175,53,6,3,0,2025-07-16 17:19:25 MESZ,2025-07-16 15:19:26 UTC
55167-451,24.7,54.0,28,97.3,49.3415,8.1633,132.8,0.0, 0,8,49,128,242,205,140,216,195,173,55,4,5,0,2025-07-16 17:19:27 MESZ,2025-07-16 15:19:28 UTC
55169-509,24.7,54.0,29,97.3,49.3415,8.1633,132.4,0.1, 0,8,49,127,240,208,140,215,196,172,54,4,4,0,2025-07-16 17:19:29 MESZ,2025-07-16 15:19:30 UTC
55172-737,24.7,54.0,28,97.3,49.3415,8.1633,131.9,0.2, 0,8,56,142,266,227,154,239,217,195,60,3,3,0,2025-07-16 17:19:32 MESZ,2025-07-16 15:19:32 UTC
55174-731,24.8,54.0,30,97.2,49.3415,8.1633,131.4,0.1, 0,8,55,145,267,228,155,243,217,200,59,4,3,1,2025-07-16 17:19:34 MESZ,2025-07-16 15:19:34 UTC
55176-810,24.8,54.0,28,97.4,49.3415,8.1633,130.8,0.1, 0,8,58,146,267,229,156,246,219,206,67,4,5,0,2025-07-16 17:19:36 MESZ,2025-07-16 15:19:36 UTC
55178-010,24.8,54.0,29,97.3,49.3415,8.1633,130.5,0.1, 0,8,59,147,269,230,157,250,219,212,68,4,4,0,2025-07-16 17:19:38 MESZ,2025-07-16 15:19:39 UTC
55180-921,24.8,54.0,28,97.5,49.3415,8.1633,129.9,0.2, 0,8,62,150,269,230,158,251,221,215,69,4,4,0,2025-07-16 17:19:40 MESZ,2025-07-16 15:19:41 UTC
55182-978,24.8,54.0,27,97.3,49.3415,8.1633,129.6,0.1, 0,8,63,146,269,229,156,251,220,218,71,4,3,0,2025-07-16 17:19:42 MESZ,2025-07-16 15:19:43 UTC
