# Umweltkontrollsystem Log
# Start: 2025-07-15 16:17:46
# ===== SENSOR-KONFIGURATION =====
# TEMPERATURSENSOR:
#   DHT11: Pin 22 (Digital) - Temp + Luftfeuchtigkeit, 0.5Hz [Temperature_DHT_C, Humidity_RH]
#   DS18B20: Pin 8 (OneWire) - 4.7K Pull-up zu 5V erforderlich
# GPS-MODUL:
#   RX: Pin 19, TX: Pin 18 (Serial1, 9600 Baud), 200Hz [GPS_Lat, GPS_Lon, GPS_Alt, GPS_Speed, GPS_Course, GPS_Sats, GPS_DateTime]
# GAS-SENSOREN (MQ-Serie, 0.5Hz):
#   MQ2 (Methan,Butan,LPG,Rauch): A0 [MQ2]
#   MQ3 (Alkohol,Ethanol): A1 [MQ3]
#   MQ4 (Methan,CNG): A2 [MQ4]
#   MQ5 (Erdgas,LPG): A3 [MQ5]
#   MQ6 (LPG,Butan): A4 [MQ6]
#   MQ7 (Kohlenmonoxid CO): A5 [MQ7]
#   MQ8 (Wasserstoff H2): A6 [MQ8]
#   MQ9 (CO,entflammbare Gase): A7 [MQ9]
#   MQ135 (Luftqualitaet CO2,NH3,NOx): A8 [MQ135]
# MIKROFONE (100kHz Burst):
#   Mikrofon Klein: A9, Mikrofon Gross: A10 [Mic1, Mic2]
# RADIOAKTIVITAET:
#   Geigerzaehler: Pin 29 (Digital), 200Hz Polling [Radiation_CPS]
# LICHTSENSOR:
#   LDR: Pin A11, 0.5Hz (0-1023 = Dunkel-Hell) [Light_Level, Light_Percent]
# ZEIT/TIMESTAMP:
#   Sekunden seit Mitternacht + Millisekunden [SecSinceMidnight-MS, DateTime]
# SD-KARTE:
#   CS: Pin 10, MOSI: 51, MISO: 50, SCK: 52 (SPI)
# RTC (Real-Time Clock):
#   SDA: Pin 20, SCL: Pin 21 (I2C)
# SYSTEM: Arduino Mega 2560, 5V Versorgung
# ABTASTRATEN: GPS/Radiation=200Hz, Sensoren=0.5Hz, Mikro=100kHz
# ===================================
SecSinceMidnight-MS,Temperature_DHT_C,Humidity_RH,Light_Level,Light_Percent,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Speed,GPS_Course,GPS_Sats,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Mic1,Mic2,Radiation_CPS,DateTime,GPS_DateTime
58666-951,0.0,0.0,28,97.3,--,--,--,--,--,0,54,146,253,213,137,218,203,87,61,5,4,0,2025-07-15 18:17:46 MESZ,----/--/-- --:--:-- UTC
58669-869,23.8,39.0,28,97.3,--,--,--,--,--,0,57,149,252,215,137,220,205,90,63,4,3,0,2025-07-15 18:17:49 MESZ,----/--/-- --:--:-- UTC
58671-949,23.7,39.0,29,97.3,--,--,--,--,--,0,56,151,256,217,141,225,206,94,64,4,4,0,2025-07-15 18:17:51 MESZ,----/--/-- --:--:-- UTC
58673-169,23.6,39.0,32,96.9,--,--,--,--,--,0,60,151,258,219,143,227,208,98,67,4,4,0,2025-07-15 18:17:53 MESZ,----/--/-- --:--:-- UTC
58675-173,23.5,39.0,33,96.8,--,--,--,--,--,0,58,151,258,220,142,228,208,101,68,4,5,0,2025-07-15 18:17:55 MESZ,----/--/-- --:--:-- UTC
58677-252,23.4,39.0,28,97.2,--,--,--,--,--,0,61,152,259,221,143,232,210,105,71,4,4,0,2025-07-15 18:17:57 MESZ,----/--/-- --:--:-- UTC
58679-344,23.3,39.0,29,97.1,--,--,--,--,--,0,63,152,260,222,144,233,211,109,73,3,3,0,2025-07-15 18:17:59 MESZ,----/--/-- --:--:-- UTC
58681-414,23.3,40.0,31,97.0,--,--,--,--,--,0,62,154,260,223,144,236,213,112,74,3,3,0,2025-07-15 18:18:01 MESZ,----/--/-- --:--:-- UTC
58683-419,23.3,40.0,31,97.0,--,--,--,--,--,0,64,153,263,223,146,237,213,114,74,3,3,0,2025-07-15 18:18:03 MESZ,----/--/-- --:--:-- UTC
58685-832,23.2,40.0,30,97.0,--,--,--,--,--,0,65,154,263,225,147,239,214,119,76,3,4,0,2025-07-15 18:18:05 MESZ,----/--/-- --:--:-- UTC
58687-624,23.2,40.0,30,97.0,--,--,--,--,--,0,65,155,264,225,148,240,215,120,77,4,5,0,2025-07-15 18:18:07 MESZ,----/--/-- --:--:-- UTC
58689-702,23.2,40.0,31,97.0,--,--,--,--,--,0,66,153,264,224,148,241,215,125,76,4,4,0,2025-07-15 18:18:09 MESZ,----/--/-- --:--:-- UTC
58691-899,23.2,40.0,30,96.9,--,--,--,--,--,0,64,156,266,225,147,242,216,126,80,4,4,0,2025-07-15 18:18:11 MESZ,----/--/-- --:--:-- UTC
58693-794,23.1,40.0,31,97.0,--,--,--,--,--,0,68,156,267,227,149,244,217,129,80,4,3,0,2025-07-15 18:18:13 MESZ,----/--/-- --:--:-- UTC
58696-850,23.1,40.0,30,97.0,--,--,--,--,--,0,69,156,266,227,148,246,218,130,82,4,4,0,2025-07-15 18:18:16 MESZ,----/--/-- --:--:-- UTC
58698-075,23.1,40.0,32,96.9,--,--,--,--,--,0,69,156,265,225,149,247,218,133,81,4,4,0,2025-07-15 18:18:18 MESZ,----/--/-- --:--:-- UTC
58700-076,23.1,40.0,31,96.9,--,--,--,--,--,0,67,157,265,226,149,249,216,132,82,3,3,0,2025-07-15 18:18:20 MESZ,----/--/-- --:--:-- UTC
58702-156,23.1,40.0,31,97.0,--,--,--,--,--,0,69,158,266,225,149,250,218,137,82,4,4,0,2025-07-15 18:18:22 MESZ,----/--/-- --:--:-- UTC
58704-249,23.0,41.0,30,97.0,--,--,--,--,--,0,68,157,262,224,147,250,212,135,81,4,3,0,2025-07-15 18:18:24 MESZ,----/--/-- --:--:-- UTC
58706-246,23.0,41.0,32,96.8,49.2703,7.8265,607.6,0.1, 0,4,69,159,263,226,147,253,215,137,83,3,3,0,2025-07-15 18:18:26 MESZ,2025-07-15 16:18:29 UTC
58708-305,23.0,41.0,31,97.0,49.2703,7.8264,608.9,0.3, 0,4,69,159,264,224,149,252,215,141,82,4,4,0,2025-07-15 18:18:28 MESZ,2025-07-15 16:18:31 UTC
58710-580,23.0,41.0,32,96.9,49.2703,7.8264,610.4,0.3, 0,4,70,157,263,224,149,256,213,140,83,4,3,0,2025-07-15 18:18:30 MESZ,2025-07-15 16:18:34 UTC
58712-547,23.0,41.0,30,97.0,49.2703,7.8264,616.2,0.4, 0,7,70,160,261,223,146,257,212,141,84,3,4,0,2025-07-15 18:18:32 MESZ,2025-07-15 16:18:36 UTC
