# Umweltkontrollsystem Log
# Start: 2025-07-15 17:31:22
# ===== SENSOR-KONFIGURATION =====
# TEMPERATURSENSOR:
#   DHT11: Pin 22 (Digital) - Temp + Luftfeuchtigkeit, 0.5Hz [Temperature_DHT_C, Humidity_RH]
#   DS18B20: Pin 8 (OneWire) - 4.7K Pull-up zu 5V erforderlich
# GPS-MODUL:
#   RX: Pin 19, TX: Pin 18 (Serial1, 9600 Baud), 200Hz [GPS_Lat, GPS_Lon, GPS_Alt, GPS_Speed, GPS_Course, GPS_Sats, GPS_DateTime]
# GAS-SENSOREN (MQ-Serie, 0.5Hz):
#   MQ2 (Methan,Butan,LPG,Rauch): A0 [MQ2]
#   MQ3 (Alkohol,Ethanol): A1 [MQ3]
#   MQ4 (Methan,CNG): A2 [MQ4]
#   MQ5 (Erdgas,LPG): A3 [MQ5]
#   MQ6 (LPG,Butan): A4 [MQ6]
#   MQ7 (Kohlenmonoxid CO): A5 [MQ7]
#   MQ8 (Wasserstoff H2): A6 [MQ8]
#   MQ9 (CO,entflammbare Gase): A7 [MQ9]
#   MQ135 (Luftqualitaet CO2,NH3,NOx): A8 [MQ135]
# MIKROFONE (100kHz Burst):
#   Mikrofon Klein: A9, Mikrofon Gross: A10 [Mic1, Mic2]
# RADIOAKTIVITAET:
#   Geigerzaehler: Pin 29 (Digital), 200Hz Polling [Radiation_CPS]
# LICHTSENSOR:
#   LDR: Pin A11, 0.5Hz (0-1023 = Dunkel-Hell) [Light_Level, Light_Percent]
# ZEIT/TIMESTAMP:
#   Sekunden seit Mitternacht + Millisekunden [SecSinceMidnight-MS, DateTime]
# SD-KARTE:
#   CS: Pin 10, MOSI: 51, MISO: 50, SCK: 52 (SPI)
# RTC (Real-Time Clock):
#   SDA: Pin 20, SCL: Pin 21 (I2C)
# SYSTEM: Arduino Mega 2560, 5V Versorgung
# ABTASTRATEN: GPS/Radiation=200Hz, Sensoren=0.5Hz, Mikro=100kHz
# ===================================
SecSinceMidnight-MS,Temperature_DHT_C,Humidity_RH,Light_Level,Light_Percent,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Speed,GPS_Course,GPS_Sats,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Mic1,Mic2,Radiation_CPS,DateTime,GPS_DateTime
63082-536,0.0,0.0,35,96.6,--,--,--,--,--,0,93,156,284,241,160,295,232,231,156,5,5,0,2025-07-15 19:31:22 MESZ,----/--/-- --:--:-- UTC
63084-453,19.3,52.0,36,96.6,49.2703,7.8265,607.9,0.1, 0,10,92,156,282,240,156,294,230,232,155,6,4,0,2025-07-15 19:31:24 MESZ,2025-07-15 17:31:25 UTC
63086-533,19.3,52.0,31,96.9,49.2703,7.8265,607.8,0.0, 0,10,90,157,280,239,158,295,229,232,153,6,5,0,2025-07-15 19:31:26 MESZ,2025-07-15 17:31:27 UTC
63088-759,19.3,52.0,31,97.0,49.2703,7.8265,607.6,0.0, 0,11,90,155,282,239,158,292,230,234,154,5,6,0,2025-07-15 19:31:28 MESZ,2025-07-15 17:31:29 UTC
63091-758,19.3,52.0,31,97.0,49.2703,7.8265,607.5,0.0, 0,11,90,156,282,237,158,296,230,232,154,5,4,0,2025-07-15 19:31:31 MESZ,2025-07-15 17:31:31 UTC
63093-838,19.3,52.0,30,97.0,49.2703,7.8265,607.2,0.0, 0,11,89,156,283,237,157,294,229,233,155,6,4,0,2025-07-15 19:31:33 MESZ,2025-07-15 17:31:33 UTC
63095-983,19.3,52.0,31,97.0,49.2703,7.8265,606.9,0.0, 0,11,89,155,285,240,159,294,231,234,154,5,6,0,2025-07-15 19:31:35 MESZ,2025-07-15 17:31:36 UTC
63097-950,19.3,52.0,31,97.0,49.2703,7.8265,606.7,0.0, 0,11,86,156,285,239,157,294,231,233,155,4,4,0,2025-07-15 19:31:37 MESZ,2025-07-15 17:31:38 UTC
63099-006,19.4,52.0,31,97.2,49.2703,7.8265,606.7,0.1, 0,12,90,157,281,239,157,293,230,233,154,6,7,1,2025-07-15 19:31:39 MESZ,2025-07-15 17:31:40 UTC
63101-264,19.4,52.0,31,97.1,49.2703,7.8265,606.7,0.1, 0,11,91,155,288,241,160,294,232,232,157,5,5,0,2025-07-15 19:31:41 MESZ,2025-07-15 17:31:42 UTC
63103-230,19.4,52.0,30,97.1,49.2703,7.8265,606.8,0.0, 0,11,92,155,284,240,161,294,232,237,156,4,6,0,2025-07-15 19:31:43 MESZ,2025-07-15 17:31:44 UTC
